ApplicationNumber,ApplicationDate,JobRole,LAName,OfficerAuthorised,Theme,ResponseDate,AcceptanceStatus,ODICertificateURL,DGUURL,InventoryURL,LocalCodes,DatasetURL,SchemaURL,GuidanceURL,FrequencyOfPublishing,FOINumberEst, SubmissionComplete,LastLAUpdate,TechReviewStatus,LastTechUpdate,AdminReviewStatus,PaymentAmount,Closed,LastAdminUpdate,ApplicantNotes,AdministrationNotes,TechnicalNotes,LastUpdated
"175","31/07/2014","Policy Manager","Swale Borough Council","True","Toilets","31/07/2014","Accepted","https://certificates.theodi.org/datasets/2694/certificates/15086","","","False","http://archive.swale.gov.uk/assets/Freedom-on-information/Copy-of-PublicToilets20140929-2.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","0","True","02/10/2014","Accepted","03/10/2014","Accepted","2000.0000","True","13/11/2014","02/10/2014File corrected and resubmitted","13/11/2014BACS payment process initiated as council has completed its obligations successfully
03/10/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","01/10/2014Not passed technical review, comments sent through by email.","13/11/2014"
"129","23/07/2014","Land & Property Gazetteer Manager","Tunbridge Wells Borough Council","True","Planning","24/07/2014","Accepted","https://certificates.theodi.org/datasets/2753/certificates/15167","http://data.gov.uk/dataset/twbc-planning","","","http://www.tunbridgewells.gov.uk/__data/assets/file/0005/64670/Planning-Open-Data2.csv","http://schemas.opendata.esd.org.uk/PlanningApplications","","Annually","","True","22/12/2014","Accepted","23/12/2014","Accepted","2000.0000","True","18/02/2015","22/12/2014License restrictions prevent the publication of X and Y coordinates in this dataset.
22/12/2014License retrictions prevent the Publication of X and Y coordinates in this dataset
14/11/2014- All fields of type date (CaseDate, DecisionTargetDate, DecisionDate, DecisionNoticeDate, PublicConsultationStartDate, PublicConsultationEndDate) must be in the format DD/MM/YYYY. - Addressed

- All rows with a ClassificationURI value must also have a ClassificationLabel value. - Addressed

- GeoAreaLabel must exactly match the offiicalname of the GeoAreaURI, including any punctuation. The following do not match:
* http://statistics.data.gov.uk/id/statistical-geography/E05005144
* http://statistics.data.gov.uk/id/statistical-geography/E05005140
* http://statistics.data.gov.uk/id/statistical-geography/E05005145 - Addressed

- Status value must be from the list provided in the documentation - 'Refuse' and 'Approve' are not on the list. - Addressed

- DecisionType value must also be from the provided list. 'COMM', 'DEL' and 'NOCODE' are not in the list. - Addressed

- PublisherLabel must be 'Tunbridge Wells' to match the PublisherURI label. - Query about this as your website has tunbridge_wells ????

- GeoX and GeoY must be filled in if possible, or details provided in the form's Applicant Notes to say why the data couldn't be provided (e.g. licence restrictions). - Addressed
","18/02/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
23/12/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","23/12/2014Technical review passed.
11/12/2014Technical review not passed, notes sent via email.
14/11/2014Not passed technical review - notes sent by email.

10/11/2014Not passed technical review - notes sent by email.","18/02/2015"
"130","23/07/2014","Land & Property Gazetteer Manager","Tunbridge Wells Borough Council","True","Premises","24/07/2014","Accepted","https://certificates.theodi.org/datasets/8808/certificates/21250","http://data.gov.uk/dataset/twbc-licensed-premises","","","http://documents.sevenoaks.gov.uk/esd/TunbridgeWellsLicensingOpenData.csv","http://schemas.opendata.esd.org.uk/PremisesLicences","","Quarterly","","True","16/02/2015","Accepted","17/02/2015","Accepted","2000.0000","True","18/02/2015","16/02/2015UPRN not included due to licensing issues
16/02/2015UPRN not included due to licensing issues
12/02/2015UPRN not included for licensing reasons. 
","18/02/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
17/02/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","17/02/2015Technical review passed.
16/02/2015Not passed technical review, notes sent by email.
13/02/2015Not passed technical review, notes sent by email.
29/10/2014Not passed technical review, notes sent by email.","18/02/2015"
"131","23/07/2014","Land & Property Gazetteer Manager","Tunbridge Wells Borough Council","True","Toilets","24/07/2014","Accepted","https://certificates.theodi.org/datasets/2866/certificates/15302","http://data.gov.uk/dataset/twbc-public-conveniences","","","http://www.tunbridgewells.gov.uk/opendata_pc","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","23/01/2015","Accepted","23/01/2015","Accepted","3000.0000","True","18/02/2015","08/01/2015This should now have PartOfCommunityScheme updated to 'No' for each record. If not their is a programme with the URL refresh again at this end.
17/12/2014I have checked the 3 errors, amended the column header and checked that the refreshed URL points to the most up-to-date CSV file
12/11/2014Apologies - when I last submitted this the web team had just taken the data hosting page down!","18/02/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
23/01/2015 Written to confirm data set is complete and acceptable. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","22/01/2015Technical review not passed. Notes sent via email.

09/01/2015Technical review not passed. Notes sent via email.
17/12/2014Technical review not passed. Notes sent via email.
11/12/2014Technical review not passed, issues still present from previous round.
13/11/2014Technical review not passed. Notes sent via email.
29/10/2014Dataset URL not valid.","18/02/2015"
"252","06/11/2014","Information and Support Services Manager","Rochford District Council","True","Planning","09/03/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PlanningApplications","","","","False","","Not started","","Not started","","False","","","09/03/2015Programme Manager requested withdrawal of this data theme from the scheme due to no progress being made in its delivery and the scheme timetable fast coming to and end.
05/12/2014Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
06/11/2014Written to explain this request is placed on the waiting list pending available grant slots coming available hopefully later in the year if other councils decide to withdraw","","09/03/2015"
"253","06/11/2014","Information and Support Services Manager","Rochford District Council","True","Premises","26/03/2015","Withdrawn","https://certificates.theodi.org/datasets/24271/certificates/47732","","","","http://www.rochford.gov.uk/sites/rochford.gov.uk/files/documents/files/premises_licences_1.csv","http://schemas.opendata.esd.org.uk/PremisesLicences","","Annually","","False","","Not started","","Not started","","False","","","25/03/2015Programme Manager has now to withdraw this application from the scheme due to lack of remaining time available and the imminent closure of the scheme.
05/12/2014Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
06/11/2014Written to explain this request is placed on the waiting list pending available grant slots coming available hopefully later in the year if other councils decide to withdraw","19/03/2015Errors from previous round still present. Not passed technical review.
18/03/2015Errors from previous round still present. Not passed technical review.
06/03/2015Not passed technical review, notes sent by email.","26/03/2015"
"254","06/11/2014","Information and Support Services Manager","Rochford District Council","True","Toilets","09/03/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PublicToilets","","","","False","","Not started","","Not started","","False","","","09/03/2015Programme Manager requested withdrawal of this data theme from the scheme due to no progress being made in its delivery and the scheme timetable fast coming to and end.
10/12/2014 Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
06/11/2014Written to explain this request is placed on the waiting list pending available grant slots coming available hopefully later in the year if other councils decide to withdraw","","09/03/2015"
"276","29/01/2015","Performance Officer","Kings Lynn and West Norfolk Borough Council","True","Planning","02/02/2015","Accepted","https://certificates.theodi.org/datasets/24054/certificate","http://data.gov.uk/dataset/planningapplicationswestnorfolk","","","http://www.west-norfolk.gov.uk/files/planningapplications.csv","http://schemas.opendata.esd.org.uk/PlanningApplications","http://schemas.opendata.esd.org.uk/PlanningApplications/LocalOpenDataIncentiveSchemePlanningApplicationsSchemaGuidance.pdf","Annually","10","True","10/03/2015","Accepted","10/03/2015","Accepted","2000.0000","True","20/03/2015","10/03/2015The UPRN and geographic coordinates have not been included due to Ordnance Survey licensing restrictions","20/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
10/03/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.
02/02/2015 Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
29/01/2015Written to explain this request is placed on the waiting list pending available grant slots coming available hopefully later in the year if other councils decide to withdraw.","10/03/2015Technical review passed.
10/03/2015Reverting so authority can make a decision on co-ords.
05/03/2015Not passed technical review, notes sent by email.","20/03/2015"
"277","29/01/2015","Performance Officer","Kings Lynn and West Norfolk Borough Council","True","Premises","02/02/2015","Accepted","https://certificates.theodi.org/datasets/24053/certificate","http://data.gov.uk/dataset/premises-licences-west-norfolk","","","http://www.west-norfolk.gov.uk/files/premises-licences-march-2015-v4.csv","http://schemas.opendata.esd.org.uk/PremisesLicences","http://schemas.opendata.esd.org.uk/PremisesLicences/LocalOpenDataIncentiveSchemePremisesLicencesSchemaGuidance.pdf","Annually","0","True","19/03/2015","Accepted","20/03/2015","Accepted","2000.0000","True","20/03/2015","","20/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
20/03/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.
02/02/2015 Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
29/01/2015Written to explain this request is placed on the waiting list pending available grant slots coming available hopefully later in the year if other councils decide to withdraw.","18/03/2015Technical review not passed, notes sent via email.
17/03/2015Technical review not passed, notes sent via email.
04/03/2015Technical review not passed, notes sent via email.","20/03/2015"
"278","29/01/2015","Performance Officer","Kings Lynn and West Norfolk Borough Council","True","Toilets","02/02/2015","Accepted","https://certificates.theodi.org/datasets/23876/certificate","","","","http://www.west-norfolk.gov.uk/files/public-conveniences-v2.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","2","True","25/02/2015","Accepted","26/02/2015","Accepted","3000.0000","True","20/03/2015","","20/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
26/02/2015Written to confirm data set is complete and acceptable.  Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.
02/02/2015 Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
29/01/2015Written to explain this request is placed on the waiting list pending available grant slots coming available hopefully later in the year if other councils decide to withdraw.","26/02/2015Technical review passed.
09/02/2015Technical review not passed, notes sent via email.
05/02/2015Technical review not passed, notes sent via email.
04/02/2015Technical review not passed, notes sent via email.
03/02/2015Technical review not passed, notes sent via email.","20/03/2015"
"176","01/08/2014","Head of Programmes and Performance Management","Central Bedfordshire Council","True","Planning","24/11/2014","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PlanningApplications","","","","False","","Not started","","Not started","","False","","01/08/2014Second point of contact:Alison Hunt, Systems Development Manageralison.hunt@centralbedfordshire.gov.uk","24/11/2014Council has written to withdraw participation from the scheme for this data theme due to internal capacity and technical issues","","24/11/2014"
"177","01/08/2014","Head of Programme and Performance Management","Central Bedfordshire Council","True","Premises","24/11/2014","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","01/08/2014Second point of contact:Alison Hunt, Systems Development Manageralison.hunt@centralbedfordshire.gov.uk","24/11/2014Council has written to withdraw participation from the scheme for this data theme due to internal capacity and technical issues","","24/11/2014"
"178","01/08/2014","Head of Programme and Performance Management","Central Bedfordshire Council","True","Toilets","15/01/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PublicToilets","","","","False","","Not started","","Not started","","False","","03/12/2014Public toilet csv added 03/12/2014
01/08/2014Second point of contact:Alison Hunt, Systems Development Manageralison.hunt@centralbedfordshire.gov.uk","15/01/2015Council has advised by phone its wish to withdraw participation from the scheme for this data theme. They do not wish to be included.","","15/01/2015"
"67","15/07/2014","Community Engagement Officer","South Lakeland District Council","True","Planning","15/07/2014","Accepted","https://certificates.theodi.org/datasets/2577/certificates/14945","http://data.gov.uk/dataset/sldc-planning-applications","","","http://www.southlakeland.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=44657","http://schemas.opendata.esd.org.uk/PlanningApplications","","Annually","0","True","15/10/2014","Accepted","21/10/2014","Accepted","2000.0000","True","22/10/2014","14/10/201433 duplicates removed and appeals status set.
09/10/2014Amendments made as requested.
08/10/2014Issues resolved from email. This dataset contains the WGS84 coordinate reference system.
15/09/2014The conversion to WGS84 coordinate reference system is taking slightly longer than anticipated so have temporarily removed the GeoX/Y coordinates and added the OS statement to data.gov.uk. Once we have the conversion sorted I will add that dataset, but I want to get the rest of it assessed in the meantime.
12/09/2014The UPRN's in our planning register don't match those in the Local Land and Property Gazetteers, so we won't publish these.
12/09/2014We are using the WGS84 coordinate reference system in order to publish our X/Y coordinates under the Open Government Licence, which is important for a district with rural areas.","22/10/2014 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
21/10/2014 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","21/10/2014Passed technical review.
15/10/2014Not passed technical review, notes sent via email.
13/10/2014Notes sent via email.
10/10/2014Notes sent via email.
09/10/2014Notes sent via email.
16/09/2014Notes sent by email.","22/10/2014"
"68","15/07/2014","Community Engagement Officer","South Lakeland District Council","True","Premises","15/07/2014","Accepted","https://certificates.theodi.org/datasets/2747/certificates/15160","http://data.gov.uk/dataset/premises-licences-in-south-lakeland","","","http://www.southlakeland.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=45232","http://schemas.opendata.esd.org.uk/PremisesLicences","http://www.southlakeland.gov.uk/have-your-say/information-and-data/data-transparency/open-data/?entryid80=45233","Annually","3","True","10/10/2014","Accepted","13/10/2014","Accepted","2000.0000","True","22/10/2014","10/10/2014Changes have been made as per the email.
08/10/2014This dataset has the UPRNs removed to be available under Open Government Licence. A version under Public Sector End User Licence is available on request and proof of licence. Our systems are being migrated so some earlier entries may be missing information such as opening hours.","22/10/2014 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
13/10/2014 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","10/10/2014Notes sent via email.
09/10/2014Notes sent via email.","22/10/2014"
"69","15/07/2014","Community Engagement Officer","South Lakeland District Council","True","Toilets","15/07/2014","Accepted","https://certificates.theodi.org/datasets/2512/certificates/14852","http://data.gov.uk/dataset/public-toilets-in-south-lakeland","","False","http://www.southlakeland.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=44481","http://schemas.opendata.esd.org.uk/PublicToilets","http://schemas.opendata.esd.org.uk/PublicToilets/LocalOpenDataIncentiveSchemePublicToiletsSchemaGuidance.pdf?v=0.40","Annually","0","True","04/09/2014","Accepted","05/09/2014","Accepted","3000.0000","True","22/10/2014","04/09/2014Changes made as requested, data published under Open Government Licence for now.","22/10/2014 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
05/09/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","05/09/2014Passed technical review
03/09/2014Not passed technical review. An email has been sent containing comments.","22/10/2014"
"146","29/07/2014","GIS Manager","Lichfield District Council","True","Planning","15/10/2014","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PlanningApplications","","","","False","","Not started","","Not started","","False","","","09/10/2014Council has written to withdraw participation from the scheme for this data theme due to their intention to publish data to their own schema rather than the emerging central one.","","15/10/2014"
"147","29/07/2014","GIS Manager","Lichfield District Council","True","Premises","15/10/2014","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","09/10/2014Council has written to withdraw participation from the scheme for this data theme due to their intention to publish data to their own schema rather than the emerging central one.","","15/10/2014"
"148","29/07/2014","GIS Manager","Lichfield District Council","True","Toilets","29/07/2014","Accepted","https://certificates.theodi.org/datasets/2281/certificates/14578","http://data.gov.uk/dataset/lichfield_public_toilets","","","http://www2.lichfielddc.gov.uk/data/files/2014/08/PublicConveniences20142.csv","http://schemas.opendata.esd.org.uk/PublicToilets","http://www2.lichfielddc.gov.uk/data/2010/11/public-toilets/","Annually","0","True","07/08/2014","Accepted","07/08/2014","Accepted","2000.0000","True","09/10/2014","","09/10/2014Payment of grant transfer by BACS has been requested and processed
07/08/2014Written to confirm data set is complete and acceptable. Forewarned that grant will be made in the batch of 3 submissions when completed and expect a delay until early September 2014 before payments are made.","07/08/2014Passed technical review
07/08/2014Not passed technical review. An email has been sent containing comments.
06/08/2014Not passed technical review. An email has been sent containing comments.
06/08/2014Not passed technical review. An email has been sent containing comments.","09/10/2014"
"282","12/02/2015","Business Applications Manager","Gravesham Borough Council","True","Toilets","12/02/2015","Accepted","https://certificates.theodi.org/datasets/24165/certificate","http://data.gov.uk/dataset/gravesham_public_toilets","","","http://www.gravesham.gov.uk/__data/assets/file/0003/173316/Public_Toilets_Gravesham.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","0","True","23/02/2015","Accepted","23/02/2015","Accepted","2000.0000","True","26/02/2015","","26/02/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
23/02/2015Written to confirm data set is complete and acceptable.  Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","23/02/2015Spreadsheet passed review, reverting to change dataset URL.
23/02/2015Not passed technical review, notes sent by email.","26/02/2015"
"16","02/07/2014","Information Governance Manager","Peterborough City Council","True","Planning","09/03/2015","Withdrawn","https://certificates.theodi.org/datasets/2226/certificate","","","","http://data.peterborough.gov.uk/View/planning-and-building-control/planning-applications?preview=true","http://schemas.opendata.esd.org.uk/PlanningApplications","","Quarterly","","False","","Not started","","Not started","","False","","","09/03/2015 Programme Manager requested withdrawal of this data theme from the scheme due to no progress being made in its delivery and the scheme timetable fast coming to and end.","20/02/2015Not passed technical review, notes sent by email.","09/03/2015"
"17","02/07/2014","Information Governance Manager","Peterborough City Council","True","Premises","09/03/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","09/03/2015Programme Manager requested withdrawal of this data theme from the scheme due to no progress being made in its delivery and the scheme timetable fast coming to and end.","","09/03/2015"
"18","02/07/2014","Information Governance Manager","Peterborough City Council","True","Toilets","02/07/2014","Accepted","https://certificates.theodi.org/datasets/2226/certificates/14520","http://data.gov.uk/dataset/peterborough-city-council-public-toilets","http://data.peterborough.gov.uk/api/esdInventory","","http://data.peterborough.gov.uk/Download/environmental-protection-street-care-and-cleaning/public-toilets/public-toilets/CSV/","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","4","True","07/08/2014","Accepted","07/08/2014","Accepted","2000.0000","True","09/03/2015","","09/03/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
07/08/2014Written to confirm data set is complete and acceptable. Forewarned that grant will be made in the batch of 3 submissions when completed and expect a delay until early September 2014 before payments are made.","07/08/2014Passed technical review","09/03/2015"
"164","30/07/2014","GIR Team Leader","Ashfield District Council","True","Planning","30/07/2014","Accepted","https://certificates.theodi.org/datasets/2794/certificates/15213","http://data.gov.uk/dataset/ashfield-planing-applications","","True","http://www.ashfield-dc.gov.uk/media/1112292/planningapplications.csv","http://schemas.opendata.esd.org.uk/PlanningApplications","http://www.ashfield-dc.gov.uk/residents/democracy,-elections-and-legal/data-information-data-protection,-freedom-of-information-etc/inspire-and-open-data.aspx","Annually","","True","04/11/2014","Accepted","05/11/2014","Accepted","2000.0000","True","15/11/2014","","15/11/2014 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
05/11/2014 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","05/11/2014Passed technical review.
03/11/2014Technical review not passed. Notes sent via email.
29/10/2014Technical review not passed. Notes sent via email.
22/10/2014Technical review not passed. Notes sent via email.
16/10/2014Technical review not passed. Notes sent via email.","15/11/2014"
"163","30/07/2014","GIR Team Leader","Ashfield District Council","True","Premises","30/07/2014","Accepted","https://certificates.theodi.org/datasets/22617/certificates/35076","http://data.gov.uk/dataset/ashfieldpremiseslicences","","","http://www.ashfield-dc.gov.uk/media/1117484/premiseslicences.csv","http://schemas.opendata.esd.org.uk/PremisesLicences","","Annually","0","True","13/11/2014","Accepted","14/11/2014","Accepted","2000.0000","True","15/11/2014","","15/11/2014 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
14/11/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","13/11/2014Not passed technical review. Notes sent via email.","15/11/2014"
"162","30/07/2014","GIR Team Leader","Ashfield District Council","True","Toilets","30/07/2014","Accepted","https://certificates.theodi.org/datasets/2367/certificates/14677","","","","http://www.ashfield-dc.gov.uk/media/1098733/public_toilets.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","13/08/2014","Accepted","14/08/2014","Accepted","3000.0000","True","15/11/2014","","15/11/2014 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
14/08/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be made in the batch of 3 submissions when completed and expect a delay until early September 2014 before payments are made.","14/08/2014Passed technical review","15/11/2014"
"15","02/07/2014","GIS Analyst/Programmer","Waverley Borough Council","True","Planning","02/07/2014","Accepted","https://certificates.theodi.org/datasets/22643/certificates/35104","http://data.gov.uk/dataset/open-data-planning-applications","","","http://maps.waverley.gov.uk/ishare.5.2.web/GetData.aspx?type=data&ds=od_planning_apps_nospatial&requesttype=xsl&xsl=xml/atcsvdatatable.xsl","http://schemas.opendata.esd.org.uk/PlanningApplications","","Monthly","","True","26/11/2014","Accepted","27/11/2014","Accepted","2000.0000","True","11/12/2014","17/11/2014The UPRN and geographic coordinates have not been included due to Ordnance Survey licensing restrictions.  A full extract that meets the requirements of the PSMA will be made available on request.

Note - the Dataset URL is a link to a feed of data formatted in CSV format.
14/11/2014Sorry the dataset url should be:

http://maps.waverley.gov.uk/ishare.5.2.web/GetData.aspx?type=data&ds=od_planning_apps_nospatial&requesttype=xsl&xsl=xml\atcsvdatatable.xsl","11/12/2014Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
27/11/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","27/11/2014Technical review passed.
21/11/2014Not passed technical review - notes sent by email.
17/11/2014Not passed technical review - notes sent by email.
14/11/2014Not passed technical review - notes sent by email.","11/12/2014"
"14","02/07/2014","GIS Analyst/Programmer","Waverley Borough Council","True","Premises","09/12/2014","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","09/12/2014Council has advised by phone its wish to withdraw participation from the scheme for this data theme. They do not wish to be included.","","09/12/2014"
"13","02/07/2014","GIS Analyst/Programmer","Waverley Borough Council","True","Toilets","02/07/2014","Accepted","https://certificates.theodi.org/datasets/2795/certificates/15215","http://data.gov.uk/dataset/waverley-public-conveniences","","","http://www.waverley.gov.uk/download/downloads/id/4524/waverley_public_convenience","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","0","True","15/10/2014","Accepted","16/10/2014","Accepted","2000.0000","True","11/12/2014","","11/12/2014Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
17/10/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","16/10/2014Technical review passed.
18/09/2014Not passed technical review. Feedback sent by email.","11/12/2014"
"50","10/07/2014","policy and performance officer","Worcester City Council","True","Toilets","10/07/2014","Accepted","https://certificates.theodi.org/datasets/2767/certificates/15182","","","","http://city.worcester.gov.uk/opendata/publictoilets/WorcesterPublicToilets.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","20/10/2014","Accepted","21/10/2014","Accepted","2000.0000","True","22/10/2014","20/10/2014amended ODI certificate url
09/10/2014awaiting to upload data, problem on odi website so cannot complete submission","22/10/2014Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
21/10/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","21/10/2014Passed technical review.
15/10/2014Not passed technical review. Notes sent via email.
10/10/2014Not passed technical review. Notes sent via email.","22/10/2014"
"107","21/07/2014","Project Manager","Craven District Council","True","Planning","21/07/2014","Accepted","https://certificates.theodi.org/datasets/23800/certificate","","","","http://www.cravendc.gov.uk/CHttpHandler.ashx?id=8515&p=0","http://schemas.opendata.esd.org.uk/PlanningApplications","","Annually","","True","10/02/2015","Accepted","10/02/2015","Accepted","2000.0000","True","13/03/2015","18/02/2015Please be advised the ODI certificate has been amended, and I would like to request the comment ""Applicant Note dated 24-Dec-14 that suggests these data at this location is static and will not be maintained as a current data set."" be revoked and made null. The data will be updated, and I must apologise for the incorrect statement. - regards Wendy
10/02/2015Not including Co-Ordinates due to licence conditions. 
24/12/2014Craven Disrtict Council Planning Applications. This is a static dataset and will not be current. To view current applications visit the councils web site.","13/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
18/02/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.
17/02/2015Being held at Admin Review Stage due to Applicant Note dated 24-Dec-14 that suggests these data at this location is static and will not be maintained as a current data set.  This contravenes the requirements of the scheme.  Council is aware and is considering the matter","10/02/2015Technical review passed.
10/02/2015Technical review not passed. Notes sent via email.
09/02/2015Technical review not passed. Notes sent via email.
05/02/2015Technical review not passed. Notes sent via email.
30/12/2014Technical review not passed. Notes sent via email.","13/03/2015"
"108","21/07/2014","Project Manager","Craven District Council","True","Premises","09/03/2015","Withdrawn","https://certificates.theodi.org/datasets/24010/certificate","","","","http://www.cravendc.gov.uk/CHttpHandler.ashx?id=8734&p=0","http://schemas.opendata.esd.org.uk/PremisesLicences","","Annually","","False","","Not started","","Not started","","False","","","09/03/2015 Programme Manager requested withdrawal of this data theme from the scheme due to no progress being made in its delivery and the scheme timetable fast coming to and end.","20/02/2015Not passed technical review, notes sent by email.","09/03/2015"
"109","21/07/2014","Project Manager","Craven District Council","True","Toilets","21/07/2014","Accepted","https://certificates.theodi.org/datasets/24009/certificate","http://data.gov.uk/dataset/craven_district_council_public_toilets","","","http://www.cravendc.gov.uk/CHttpHandler.ashx?id=8645&p=0","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","06/02/2015","Accepted","09/02/2015","Accepted","2000.0000","True","13/03/2015","18/02/2015Please be advised the ODI certificate has been amended, the data will be updated, and I must apologise for any incorrect statement. - regards Wendy","13/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
18/02/2015Written to confirm data set is complete and acceptable. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","05/02/2015Not passed technical review - notes sent via email.
04/02/2015Technical review not passed, notes sent via email.
02/02/2015Not passed technical review - notes sent via email.
23/01/2015Not passed technical review - notes sent via email.","13/03/2015"
